"0","[15016, 3498]","[1333465833, 1333466272]","[119, 119]"
"0","[3498, 9047, 20232, 20210, 20235, 19620, 20361, 12096, 20235, 4005]","[1333479169, 1333502517, 1333503621, 1333505848, 1333507222, 1333507285, 1333507478, 1333507647, 1333551588, 1333554930]","[119, 44, 116, 116, 119, 113, 35, 174, 119, 116]"
"0","[4005]","[1333594321]","[116]"
"0","[8789, 7160, 21968, 12096, 20235]","[1333838179, 1333839250, 1333839526, 1333841392, 1333895531]","[54, 47, 32, 174, 119]"
"0","[3498, 15016, 20235, 5387, 12096]","[1333946222, 1333946455, 1333948292, 1333948708, 1333948739]","[119, 119, 119, 66, 174]"
"0","[20235, 15016, 15136, 22593, 15016, 20235, 15016, 3498]","[1333989662, 1333991809, 1334019563, 1334021768, 1334029331, 1334068345, 1334069899, 1334070238]","[119, 119, 66, 78, 119, 119, 119, 119]"
"0","[20235, 15016]","[1334154822, 1334156188]","[119, 119]"
"0","[12096, 15016, 15136, 22146, 3498, 22909, 18149, 15142, 12812, 8913, 15659, 20235]","[1334249471, 1334251246, 1334251463, 1334259334, 1334283117, 1334283732, 1334284229, 1334289118, 1334297679, 1334298385, 1334298669, 1334299978]","[174, 119, 66, 174, 119, 119, 119, 216, 116, 116, 119, 119]"
"0","[19888, 21004, 239, 14666, 23523, 22909, 19080, 15390, 995, 8084, 7905, 20232, 19620, 20361, 12096]","[1334336401, 1334336679, 1334338462, 1334339861, 1334343881, 1334344842, 1334353764, 1334354958, 1334370825, 1334372514, 1334373378, 1334373901, 1334377290, 1334377399, 1334377553]","[119, 136, 136, 78, 119, 119, 174, 153, 153, 174, 178, 116, 113, 35, 174]"
"0","[21142, 4005, 20210, 20235, 5387, 12096, 20235, 3498]","[1334545481, 1334545769, 1334546819, 1334548564, 1334548909, 1334549007, 1334583529, 1334585158]","[119, 116, 116, 119, 66, 174, 119, 119]"
"0","[1921, 3498, 22593, 15016, 20235, 12096, 20235, 3274]","[1334627460, 1334628399, 1334630147, 1334634116, 1334636036, 1334636314, 1334672949, 1334675857]","[119, 119, 78, 119, 119, 174, 119, 119]"
"0","[20235, 4005, 21142]","[1334760175, 1334762614, 1334763030]","[119, 116, 119]"
"0","[3498, 22146, 4778, 15016, 20235, 12096, 20235, 3274]","[1334804411, 1334804971, 1334806028, 1334808527, 1334810065, 1334810386, 1334846645, 1334849150]","[119, 174, 80, 119, 119, 174, 119, 119]"
"0","[13989, 11910, 8488, 3498, 15016, 20235, 12096]","[1334864529, 1334864651, 1334866579, 1334889430, 1334889947, 1334892207, 1334892376]","[119, 119, 119, 119, 119, 119, 174]"
"0","[20235, 15016, 3498, 22909, 22909, 3498, 19080, 15016, 20235, 5387, 12096]","[1334941552, 1334943325, 1334943809, 1334944245, 1334972391, 1334972847, 1334974346, 1334975910, 1334977666, 1334977954, 1334978028]","[119, 119, 119, 119, 119, 119, 174, 119, 119, 66, 174]"
"0","[20235, 21693, 18690, 11527, 13313, 12082, 22170, 11527, 21845, 21693, 20235, 3772, 12096]","[1335034537, 1335035033, 1335035234, 1335036936, 1335037012, 1335045027, 1335045419, 1335050103, 1335052395, 1335052547, 1335053087, 1335053327, 1335054551]","[119, 119, 136, 136, 62, 174, 230, 136, 231, 119, 119, 174, 174]"
"0","[5387, 15016, 16210, 20232, 995, 18017, 20232, 20210, 20235, 20361, 5387]","[1335113047, 1335114222, 1335118218, 1335119459, 1335120272, 1335144962, 1335145977, 1335148321, 1335149798, 1335150372, 1335150559]","[66, 119, 116, 116, 153, 66, 116, 116, 119, 35, 66]"
"0","[20235, 20210, 6266, 1072, 17301, 671, 19113, 22593, 15016, 20235, 20361, 12096, 20235]","[1335219176, 1335220283, 1335220705, 1335220936, 1335221397, 1335224697, 1335229381, 1335230996, 1335239074, 1335240833, 1335241005, 1335241137, 1335281700]","[119, 116, 119, 136, 219, 136, 230, 78, 119, 119, 35, 174, 119]"
"0","[24445, 3010, 15579, 15016, 20235, 19620]","[1335322964, 1335323971, 1335324727, 1335326112, 1335328086, 1335328155]","[178, 178, 53, 119, 119, 113]"
"0","[5387, 20235, 17422, 6258, 8339, 3498, 22909, 23523, 10442, 22909, 12431, 22909, 3498, 15016, 20235, 12096]","[1335378758, 1335379104, 1335380565, 1335384663, 1335387716, 1335392621, 1335393116, 1335394150, 1335396795, 1335403046, 1335404847, 1335411005, 1335411649, 1335411929, 1335413720, 1335413951]","[66, 119, 53, 230, 139, 119, 119, 119, 44, 119, 62, 119, 119, 119, 119, 174]"
"0","[22909, 11359, 20235, 12096]","[1335493470, 1335508938, 1335510443, 1335510715]","[119, 119, 119, 174]"
"0","[20235, 15016, 15136, 22146, 13973, 12816, 20235, 12096, 20235]","[1335545163, 1335546861, 1335574108, 1335575113, 1335576205, 1335578653, 1335595592, 1335595675, 1335628160]","[119, 119, 66, 174, 136, 230, 119, 174, 119]"
"0","[20232, 18017, 9047, 8084, 995, 11078, 19885, 15016, 20235]","[1335631113, 1335664434, 1335664672, 1335666242, 1335667455, 1335669917, 1335671593, 1335676070, 1335677740]","[116, 66, 44, 174, 153, 116, 62, 119, 119]"
"0","[20235, 15659, 15016]","[1335883502, 1335884865, 1335885525]","[119, 119, 119]"
"0","[3498, 22146, 19676, 15016, 20235]","[1335924530, 1335924819, 1335925367, 1335926019, 1335927938]","[119, 174, 44, 119, 119]"
"0","[3498, 15016, 20235, 20361, 12096, 20235, 4005, 21142]","[1336014065, 1336014525, 1336015701, 1336015948, 1336016064, 1336056858, 1336059337, 1336059774]","[119, 119, 119, 35, 174, 119, 116, 119]"
"0","[3498, 15016, 20235, 20235]","[1336101239, 1336101665, 1336103472, 1336146250]","[119, 119, 119, 119]"
"0","[15016, 19676, 15136, 3570, 15016, 20235, 12096]","[1336147380, 1336147717, 1336184333, 1336187980, 1336190273, 1336192293, 1336192521]","[119, 44, 66, 86, 119, 119, 174]"
"0","[20235]","[1336318503]","[119]"
"0","[3498, 1921, 1921, 995, 18017, 20210, 20235, 19620, 20361]","[1336320956, 1336321812, 1336328247, 1336330216, 1336357513, 1336359589, 1336361270, 1336361299, 1336361389]","[119, 119, 119, 153, 66, 116, 119, 113, 35]"
"0","[15579, 15016, 20361, 12096]","[1336448709, 1336449014, 1336451269, 1336451505]","[53, 119, 35, 174]"
"0","[20235, 15016, 22146, 15136, 19676, 15016, 20235]","[1336494430, 1336497018, 1336497235, 1336527696, 1336528395, 1336529716, 1336530951]","[119, 119, 174, 66, 44, 119, 119]"
"0","[20235, 19676, 20235, 15659, 15016]","[1336580809, 1336582746, 1336660765, 1336661734, 1336662416]","[119, 44, 119, 119, 119]"
"0","[7126, 13042, 22846, 9511, 12677, 13605, 19690, 1134, 13787, 18149, 15142, 12812, 12812, 8913, 15659, 15659, 20235, 12096]","[1336683781, 1336684210, 1336684630, 1336684851, 1336685153, 1336691766, 1336701139, 1336701649, 1336701944, 1336703390, 1336707105, 1336716713, 1336717518, 1336717550, 1336717927, 1336717927, 1336719139, 1336719336]","[119, 116, 116, 116, 119, 158, 116, 116, 119, 119, 216, 116, 116, 116, 119, 119, 119, 174]"
"0","[20235, 4005, 13024, 11954, 4823, 14473, 398, 3448, 5139, 17245, 1921, 3498, 15579, 22146, 15016, 20235, 12096, 20361, 20235]","[1336776159, 1336778389, 1336778545, 1336783457, 1336783505, 1336787163, 1336787674, 1336788966, 1336790461, 1336791436, 1336792477, 1336793607, 1336793927, 1336795077, 1336795225, 1336797453, 1336797668, 1336835740, 1336835881]","[119, 116, 62, 80, 174, 230, 44, 108, 53, 170, 119, 119, 53, 174, 119, 119, 174, 35, 119]"
"0","[4005, 11209, 1709, 1921, 3498, 22146, 15016, 20235, 8205, 12096, 20235, 15016, 3498]","[1336839276, 1336856300, 1336856965, 1336858680, 1336859812, 1336860100, 1336861225, 1336863207, 1336870802, 1336878925, 1336919733, 1336921341, 1336921805]","[116, 66, 230, 119, 119, 174, 119, 119, 92, 174, 119, 119, 119]"
"0","[3078, 21142, 21142, 21142, 4005, 20210, 20235, 12096]","[1336937677, 1336948065, 1336962369, 1336962369, 1336962916, 1336964181, 1336965970, 1336966334]","[119, 119, 119, 119, 116, 116, 119, 174]"
"0","[12096, 1083, 21104, 22909, 22593, 15016, 20235, 19620, 20361, 12096]","[1337029382, 1337029725, 1337042421, 1337043680, 1337045120, 1337053544, 1337055328, 1337055546, 1337055576, 1337055686]","[174, 136, 119, 119, 78, 119, 119, 113, 35, 174]"
"0","[20235, 15659, 19676, 15136, 3498, 11209, 18722, 3498, 22146, 11711, 1285, 15016, 20235, 12096, 20235, 3498]","[1337098109, 1337099482, 1337101103, 1337127284, 1337127575, 1337130634, 1337132182, 1337134349, 1337134776, 1337135168, 1337136612, 1337138033, 1337139908, 1337140115, 1337178898, 1337181063]","[119, 119, 44, 66, 119, 66, 230, 119, 174, 153, 178, 119, 119, 174, 119, 119]"
"0","[22909, 22485, 968, 11329, 20235, 12096, 3498, 20235, 20235]","[1337219681, 1337221714, 1337222445, 1337224162, 1337226955, 1337227287, 1337267335, 1337267848, 1337267890]","[119, 174, 228, 116, 119, 174, 119, 119, 119]"
"0","[20235]","[1337354536]","[119]"
"0","[13257, 3498, 15016]","[1337392438, 1337404936, 1337405389]","[119, 119, 119]"
"0","[22909, 20235]","[1337562781, 1337582856]","[119, 119]"
"0","[20235, 19888, 21004, 239, 14666, 23523, 22909, 3498, 15136, 15016, 20235, 20361, 19620, 12096]","[1337627580, 1337628634, 1337628854, 1337630209, 1337630502, 1337634180, 1337635213, 1337635925, 1337643337, 1337659493, 1337661360, 1337661497, 1337661560, 1337661716]","[119, 119, 136, 136, 78, 119, 119, 119, 66, 119, 119, 35, 113, 174]"
"0","[20235, 4005, 21142]","[1337785396, 1337788015, 1337788459]","[119, 116, 119]"
"0","[20189, 16630, 17245, 398, 20235, 20361, 12096]","[1337910707, 1337911304, 1337911609, 1337913745, 1337918505, 1337918686, 1337918841]","[44, 174, 170, 44, 119, 35, 174]"
"0","[5387, 15016, 19676, 518, 3498, 1921, 1921, 3498]","[1337962144, 1337964270, 1337964455, 1337975122, 1337976600, 1337977608, 1337991118, 1337992243]","[66, 119, 44, 228, 119, 119, 119, 119]"
"0","[12096, 20235, 15659, 15016, 3498]","[1338089918, 1338129654, 1338130648, 1338131430, 1338131640]","[174, 119, 119, 119, 119]"
"0","[3498, 15016, 20235, 20361, 5387, 12096]","[1338173608, 1338174179, 1338176088, 1338176192, 1338176236, 1338176394]","[119, 119, 119, 35, 66, 174]"
"0","[15659, 12812, 18924]","[1338231650, 1338232550, 1338233127]","[119, 116, 32]"
"0","[5387, 11329, 22485, 18241, 2011, 23335]","[1338319729, 1338322163, 1338331122, 1338332131, 1338333654, 1338337963]","[66, 116, 174, 230, 230, 136]"
"0","[22146, 3498, 15764, 8547, 24445, 19186, 21143, 19080, 11673, 15016, 20235, 19620, 12096]","[1338512336, 1338512623, 1338514333, 1338514567, 1338517892, 1338518695, 1338519858, 1338522377, 1338523697, 1338524381, 1338526425, 1338526702, 1338526925]","[174, 119, 119, 228, 178, 230, 53, 174, 59, 119, 119, 113, 174]"
"0","[20235, 15016, 3498, 9240, 10310, 12527, 20235, 20361, 20235, 15016]","[1338656422, 1338657748, 1338658129, 1338659547, 1338659776, 1338660823, 1338697355, 1338697536, 1338733723, 1338735358]","[119, 119, 119, 119, 231, 139, 119, 35, 119, 119]"
"0","[15448, 18017, 20232, 20235, 20361]","[1338753887, 1338772682, 1338772965, 1338776233, 1338776436]","[119, 66, 116, 119, 35]"
"0","[20235, 15016, 21003, 22593, 15016, 20235, 12096]","[1338848420, 1338849408, 1338857152, 1338859577, 1338868646, 1338870779, 1338871066]","[119, 119, 44, 78, 119, 119, 174]"
"0","[21142, 1921, 3498, 15016, 20235, 12096]","[1338944334, 1338946941, 1338948140, 1338948507, 1338950230, 1338950518]","[119, 119, 119, 119, 119, 174]"
